_runtime,_step,eval/mean_reward,ID,group,name,algo,team size,eval team size,seed,eval_seed,job_type,partial_obs,batch_size,_total_timesteps
63.40954518318176,644,1.3224431818181819,8ob33yuq,iql_a769e6eb95,iql,iql,10,10,3456,3456.0,test,False,32.0,
381.86750531196594,834,-3.9206611570247936,8ozyy5nr,vdn_658458aa52,vdn,vdn,5,5,3456,-1.0,train,False,32.0,
6166.3609137535095,35,0.8600619834710745,z61p3up8,vdn_ea43da6871,vdn,vdn,5,5,8001,-1.0,train,True,32.0,
6125.9011907577515,35,0.9076756198347107,fuw0ja2k,vdn_520f55a7d2,vdn,vdn,5,5,8001,-1.0,train,True,32.0,
4547.434728384018,27,0.5423037190082646,ov2to2lt,iql_8b821a6bda,iql,iql,10,10,8001,3456.0,train,True,32.0,
4527.2035439014435,27,0.36540805785123975,3x6hu0bc,iql_72be6de7b9,iql,iql,10,10,8001,3456.0,train,True,32.0,
53.24606251716614,0,-1.6741425619834716,tkvm3b4f,iql_72be6de7b9,iql,iql,10,10,8001,3456.0,train,True,32.0,
53.23405933380127,0,-1.6741425619834716,4zbsthjc,iql_8b821a6bda,iql,iql,10,10,8001,3456.0,train,True,32.0,
1460.4392676353455,10,0.6375878099173555,vq64y44d,vdn_6b85fa1382,vdn,vdn,10,10,8001,3456.0,train,True,32.0,
47.05358934402466,0,-0.13879132231404956,fou8nca9,vdn_a0488abfca,vdn,vdn,10,10,8001,2004.0,train,True,32.0,
47.05358934402466,0,-0.13879132231404956,eytfarod,vdn_6b85fa1382,vdn,vdn,10,10,8001,3456.0,train,True,32.0,
4580.871868848801,14,0.43304752066115704,i5x4mxg4,vdn_563c065517,vdn,vdn,10,10,8001,3456.0,test,True,32.0,
4573.855341434479,15,0.04113636363636366,6lqd72kv,vdn_e6fe575e9a,vdn,vdn,10,10,8001,3456.0,test,True,32.0,
11783.34830236435,36,-0.6683987603305784,ns6jtkq1,qmix_0dd303f220,qmix,qmix,10,10,8001,3456.0,test,True,32.0,
11761.889832019806,35,-1.1793440082644628,a6kzwv5v,qmix_f494ca770a,qmix,qmix,10,10,8001,3456.0,test,True,32.0,
124.89656448364258,1,-2.259199380165289,y3kjdotb,qmix_f494ca770a,qmix,qmix,10,10,8001,3456.0,test,True,32.0,
124.99029493331909,1,-2.259199380165289,9nji7kb0,qmix_0dd303f220,qmix,qmix,10,10,8001,3456.0,test,True,32.0,
134.80122995376587,1,-2.259199380165289,lrgau392,qmix_f494ca770a,qmix,qmix,10,10,8001,3456.0,test,True,32.0,
135.04989552497864,1,-2.259199380165289,7k61e970,qmix_0dd303f220,qmix,qmix,10,10,8001,3456.0,test,True,32.0,
27502.83555650711,27,0.04271694214876036,sono8g05,qmix_1c7660ad9c,qmix,qmix,10,10,8001,3456.0,train,True,32.0,
27550.116972208023,27,0.04271694214876036,m4qz1k32,qmix_8b1d023330,qmix,qmix,10,10,8001,3456.0,train,True,32.0,
25230.464243888855,27,0.04271694214876036,smoydbcr,qmix_1ea251219a,qmix,qmix,10,10,8001,3456.0,train,False,32.0,
25245.997278928757,27,0.04271694214876036,7zv5b4up,qmix_819ac2dfe3,qmix,qmix,10,10,8001,3456.0,train,False,32.0,
