eval/burnt trees,eval/std_of_mean_reward,eval/mean_ep_length,eval/mean_reward,eval/mean_burnt trees,ID,group,name,algo,team size,eval team size,seed,eval_seed,job_type,partial_obs,batch_size,train/mean_reward,train/std_of_mean_reward,train/burnt trees,train/mean_ep_length,_total_timesteps
0.8925619834710744,,20.0,2.9103305785123963,,r1ysuns8,,ppo_5_13_fire_adjacent_03_09_11_18_45,,-5,-5,None,,train,,256.0,,,,,1000000.0
0.6198347107438017,,22.0,3.8777117768595035,,vldr8lku,,ppo_10_13_agent_above_03_09_10_31_17,,-5,-5,None,,train,,256.0,,,,,1000000.0
0.5785123966942148,,25.0,-1.3641012396694212,,i3kqetg6,,ppo_15_13_agent_above_03_09_10_31_17,,-5,-5,None,,train,,256.0,,,,,1000000.0
0.0743801652892562,,25.0,-0.04256198347107436,,6nsb03ez,,ppo_5_13_agent_above_03_09_10_31_17,,-5,-5,None,,train,,256.0,,,,,1000000.0
0.628099173553719,,,,,sa3qow6k,,matd3,matd3,-5,-5,,,train,,32.0,,,0.5537190082644629,,
,,,,,hsb0v9z2,,matd3,matd3,-5,-5,,,train,,32.0,,,0.09090909090909091,,
0.8429752066115702,,,,,pi95k8f5,,matd3,matd3,-5,-5,,,train,,32.0,,,0.8099173553719008,,
0.859504132231405,,,,,ccnwrnxm,,matd3,matd3,-5,-5,,,train,,32.0,,,0.8016528925619835,,
0.04132231404958678,,,,,vdu48e5g,,matd3,matd3,-5,-5,,,train,,32.0,,,0.6446280991735537,,
0.32231404958677684,,,,,uycyy8bn,,matd3,matd3,-5,-5,,,train,,32.0,,,0.6694214876033058,,
0.9504132231404959,,,,,uin2ivzp,,matd3,matd3,-5,-5,,,train,,32.0,,,0.5619834710743802,,
0.512396694214876,,,,,oghikdes,,matd3,matd3,-5,-5,,,train,,32.0,,,0.18181818181818182,,
0.5785123966942148,,,-42.21322314049589,,jou6wnzg,,matd3_5_13,,-5,-5,,,test,,,,,,,
0.5950413223140496,,,-10.811570247933885,,8c1sgxss,,matd3_5_13,,-5,-5,,,test,,,,,,,
0.9504132231404959,,,-72.37272727272727,,sed9558i,,heuristic_10_13_agent_above,,-5,-5,,,test,,,,,,,
0.7024793388429752,,,-13.595867768595044,,ma5vaakh,,heuristic_5_13_fire_entropy,,-5,-5,,,test,,,,,,,
0.6528925619834711,,,-16.24917355371901,,l3qsdo41,,heuristic_10_13_fire_entropy,,-5,-5,,,test,,,,,,,
0.9338842975206612,,,-63.489256198347114,,fzqwoz4g,,heuristic_5_13_agent_above,,-5,-5,,,test,,,,,,,
0.09090909090909091,,,1.4677685950413222,,tsffdvsr,,ppo_15_13_default_b0c00a35,,-5,-5,,,test,,,,,,,
0.9752066115702479,,,-40.416528925619836,,0gdv7yed,,ppo_15_13_default_b0c00a35,,-5,-5,,,test,,,,,,,
0.49586776859504134,,,-24.42534435261708,,5iaa2waw,,ppo_15_13_default_b0c00a35,,-5,-5,,,test,,,,,,,
0.9917355371900827,,,-28.951239669421486,,q8bekdza,,ppo_5_13_fire_entropy,,-5,-5,,,test,,,,,,,
,,13.0,2.0677688121795654,,xuvrmfzh,,ppo_5_13_default_3b355ef0,,-5,-5,None,,train,,128.0,,,,,300000.0
,,20.0,7.764462947845459,,t2nluy58,,ppo_5_13_default_c9338f1c,,-5,-5,None,,train,,128.0,,,,,300000.0
,,5.0,2.344628095626831,,90i6nbt4,,ppo_5_13_default_f531dd49,,-5,-5,None,,train,,128.0,,,,,300000.0
,,41.0,19.113224029541016,,3wkiioap,,ppo_5_13,,-5,-5,None,,train,,128.0,,,,,300000.0
,,24.0,14.54958724975586,,sdctvhag,,ppo_5_13,,-5,-5,None,,train,,128.0,,,,,300000.0
